payment_id,customer_id,amount,currency,payment_method,failure_reason,timestamp,previous_attempts,previous_recovery_attempts,time_since_failure_minutes,customer_success_rate,customer_lifetime_value,customer_previous_payments,status,true_recovery_probability,recovered,amount_recovered
pay_100001,cust_01001,2973.13,INR,card,authentication_failure,2026-09-04T04:34:36.858735+00:00,2,0,244.3,0.919,264138.16,48,RECOVERED,0.7825,True,2973.13
pay_100002,cust_01002,7068.26,INR,upi,customer_abandonment,2026-09-02T13:46:24.934997+00:00,2,0,2572.5,0.772,58677.36,19,FAILED,0.2714,False,0.0
pay_100003,cust_01003,1379.21,INR,upi,authentication_failure,2026-09-03T19:04:30.044973+00:00,2,0,814.4,0.543,38698.8,16,RECOVERED,0.6912,True,1379.21
pay_100004,cust_01004,888.68,INR,upi,temporary_bank_error,2026-09-03T18:02:00.490512+00:00,1,1,876.9,0.786,21740.4,26,FAILED,0.7609,False,0.0
pay_100005,cust_01005,2109.11,INR,card,network_failure,2026-09-03T10:11:59.674559+00:00,1,2,1346.9,0.674,61401.12,25,RECOVERED,0.5066,True,2109.11
pay_100006,cust_01006,1235.82,INR,card,temporary_bank_error,2026-09-04T05:31:27.294529+00:00,1,0,187.4,0.941,291837.18,44,RECOVERED,0.8939,True,1235.82
pay_100007,cust_01007,3858.51,INR,upi,authentication_failure,2026-09-03T13:39:30.711397+00:00,1,0,1139.4,0.802,141951.78,23,RECOVERED,0.8037,True,3858.51
pay_100008,cust_01008,3607.51,INR,upi,network_failure,2026-09-04T07:32:13.685708+00:00,1,1,66.6,0.896,38811.0,28,RECOVERED,0.8534,True,3607.51
pay_100009,cust_01009,612.28,INR,netbanking,temporary_bank_error,2026-09-04T00:43:57.482155+00:00,1,2,474.9,0.632,9980.62,4,RECOVERED,0.4619,True,612.28
pay_100010,cust_01010,2589.62,INR,upi,account_blocked,2026-09-02T21:08:25.049276+00:00,1,0,2130.5,0.812,201558.6,45,FAILED,0.1357,False,0.0
pay_100011,cust_01011,4558.73,INR,netbanking,network_failure,2026-09-03T21:59:40.120646+00:00,2,1,639.2,0.757,61001.46,25,RECOVERED,0.6572,True,4558.73
pay_100012,cust_01012,2604.54,INR,upi,network_failure,2026-09-03T23:42:29.454068+00:00,1,0,536.4,0.865,149493.24,46,RECOVERED,0.95,True,2604.54
